,ANO_ELEICAO,SG_UF,DS_CARGO,NM_CANDIDATO,DS_SITUACAO_CANDIDATURA,DS_DETALHE_SITUACAO_CAND,NM_PARTIDO,NR_IDADE_DATA_POSSE,DS_GENERO,DS_GRAU_INSTRUCAO,DS_COR_RACA,VR_DESPESA_MAX_CAMPANHA,DS_SITUACAO_CANDIDATO_PLEITO,DS_SITUACAO_CANDIDATO_URNA
22030,2020,PR,VEREADOR,ISABELLE MARIA FERREIRA DOS SANTOS,APTO,INDEFERIDO COM RECURSO,PARTIDO DOS TRABALHADORES,21,FEMININO,SUPERIOR COMPLETO,PARDA,33010.98,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
22031,2020,AL,VEREADOR,ARTUR CICERO SILVA DE MACEDO,APTO,DEFERIDO,MOVIMENTO DEMOCRÁTICO BRASILEIRO,26,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,12307.75,DEFERIDO,INDEFERIDO COM RECURSO
22264,2020,RN,VEREADOR,JOSÉ CARLOS SILVA DE ARCANJO FILHO,APTO,INDEFERIDO COM RECURSO,CIDADANIA,29,MASCULINO,SUPERIOR COMPLETO,PARDA,210013.89,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
22307,2020,MA,VEREADOR,JOAO BATISTA COSTA CASTRO DUARTE,APTO,DEFERIDO,PARTIDO SOCIALISTA BRASILEIRO,27,MASCULINO,ENSINO MÉDIO COMPLETO,PRETA,20530.0,DEFERIDO,INDEFERIDO COM RECURSO
22308,2020,MA,VEREADOR,RAICYELE OLIVEIRA LOPES,APTO,INDEFERIDO COM RECURSO,PARTIDO VERDE,27,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,24906.5,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
23300,2020,RJ,VEREADOR,BRUNA DE CARVALHO MAIA,APTO,DEFERIDO,PROGRESSISTAS,29,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,77192.26,DEFERIDO,INDEFERIDO COM RECURSO
23306,2020,SP,VEREADOR,WASHINGTON FRANCISCO DA SILVA,APTO,DEFERIDO,PARTIDO TRABALHISTA BRASILEIRO,23,MASCULINO,ENSINO MÉDIO COMPLETO,PRETA,28883.7,DEFERIDO,INDEFERIDO COM RECURSO
23373,2020,PA,PREFEITO,PAULO ROBERTO RODRIGUES DOS REIS,APTO,DEFERIDO,PARTIDO TRABALHISTA BRASILEIRO,25,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,123077.42,DEFERIDO,INDEFERIDO COM RECURSO
23440,2020,MG,VEREADOR,JHESSICA MILLENA ATAÍDE,APTO,DEFERIDO,REPUBLICANOS,22,FEMININO,ENSINO MÉDIO COMPLETO,PARDA,12307.75,DEFERIDO,INDEFERIDO COM RECURSO
23441,2020,SP,VEREADOR,MARCELO MARTINS BARBOZA,APTO,INDEFERIDO COM RECURSO,AVANTE,29,MASCULINO,SUPERIOR COMPLETO,PRETA,55490.63,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
23447,2020,PA,PREFEITO,ÁUREO BEZERRA GOMES,APTO,DEFERIDO,DEMOCRATAS,26,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,123077.42,DEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
23481,2020,SP,VEREADOR,RAFAEL JUNIOR GONÇALVES,APTO,DEFERIDO,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,22,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
23550,2020,MA,VEREADOR,FRANCISCA LARISSA CASSIMIRO DE SOUZA,APTO,DEFERIDO,PARTIDO LIBERAL,19,FEMININO,ENSINO FUNDAMENTAL INCOMPLETO,PARDA,16394.55,DEFERIDO,INDEFERIDO COM RECURSO
23594,2020,ES,VEREADOR,RENATO COSTA DE OLIVEIRA,APTO,DEFERIDO,PARTIDO VERDE,23,MASCULINO,ENSINO MÉDIO INCOMPLETO,PARDA,102310.15,DEFERIDO,INDEFERIDO COM RECURSO
23606,2020,CE,VEREADOR,BRUNA KRISTY FERREIRA CORDEIRO,APTO,DEFERIDO,PARTIDO COMUNISTA DO BRASIL,24,FEMININO,SUPERIOR INCOMPLETO,BRANCA,93994.11,DEFERIDO,INDEFERIDO COM RECURSO
23660,2020,MA,VEREADOR,JOCIMARA SILVA LINS,APTO,DEFERIDO,MOVIMENTO DEMOCRÁTICO BRASILEIRO,25,FEMININO,ENSINO MÉDIO COMPLETO,PARDA,105764.71,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
23708,2020,SP,VEREADOR,VICTOR MORONI COSTA,APTO,DEFERIDO,PARTIDO VERDE,28,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,42074.91,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
23729,2020,MA,VEREADOR,FERNANDA MARA COSTA DE CARVALHO,APTO,DEFERIDO,PARTIDO TRABALHISTA BRASILEIRO,26,FEMININO,ENSINO FUNDAMENTAL COMPLETO,BRANCA,16394.55,DEFERIDO,INDEFERIDO COM RECURSO
23781,2020,BA,VEREADOR,FERNANDO GRIGORIO DA SILVA,APTO,DEFERIDO,DEMOCRATAS,21,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,19016.41,DEFERIDO,INDEFERIDO COM RECURSO
23794,2020,SP,VEREADOR,MATHEUS NASCIMENTO ARAUJO,APTO,INDEFERIDO COM RECURSO,PARTIDO TRABALHISTA BRASILEIRO,23,MASCULINO,ENSINO MÉDIO INCOMPLETO,PARDA,12307.75,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
23844,2020,RJ,VEREADOR,EUGÊNIO LUCAS BENTO,APTO,DEFERIDO,PARTIDO TRABALHISTA BRASILEIRO,29,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,DEFERIDO,INDEFERIDO COM RECURSO
23845,2020,PA,VEREADOR,ADAN VINICIUS OLIVEIRA DE MORAES,APTO,DEFERIDO,PARTIDO DEMOCRÁTICO TRABALHISTA,24,MASCULINO,ENSINO MÉDIO INCOMPLETO,BRANCA,12307.75,DEFERIDO,INDEFERIDO COM RECURSO
