,ANO_ELEICAO,SG_UF,DS_CARGO,NM_CANDIDATO,DS_SITUACAO_CANDIDATURA,DS_DETALHE_SITUACAO_CAND,NM_PARTIDO,NR_IDADE_DATA_POSSE,DS_GENERO,DS_GRAU_INSTRUCAO,DS_COR_RACA,VR_DESPESA_MAX_CAMPANHA,DS_SITUACAO_CANDIDATO_PLEITO,DS_SITUACAO_CANDIDATO_URNA
29653,2020,MT,VEREADOR,MAIREPY TUMA KAIABI,APTO,DEFERIDO,PARTIDO REPUBLICANO DA ORDEM SOCIAL,27,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,INDÍGENA,53460.08,DEFERIDO,INDEFERIDO COM RECURSO
29806,2020,RJ,VEREADOR,KATLEN BATISTA LIMA DA TRINDADE,APTO,DEFERIDO,MOVIMENTO DEMOCRÁTICO BRASILEIRO,25,FEMININO,SUPERIOR COMPLETO,BRANCA,77192.26,DEFERIDO,INDEFERIDO COM RECURSO
30853,2020,PI,VEREADOR,CAMILA MIRANDA DA SILVA,APTO,DEFERIDO,SOLIDARIEDADE,20,FEMININO,ENSINO MÉDIO COMPLETO,PARDA,12307.75,DEFERIDO,INDEFERIDO COM RECURSO
30854,2020,BA,VEREADOR,TAINÁ SOUZA DOS SANTOS,APTO,INDEFERIDO COM RECURSO,PARTIDO SOCIAL LIBERAL,25,FEMININO,ENSINO MÉDIO COMPLETO,PRETA,12307.75,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
30910,2020,SP,VEREADOR,LUIZ AUGUSTO GUIMARÃES,APTO,DEFERIDO,PARTIDO TRABALHISTA BRASILEIRO,28,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,DEFERIDO,INDEFERIDO COM RECURSO
30911,2020,MA,VEREADOR,FÁBIO DOS SANTOS,APTO,DEFERIDO,MOVIMENTO DEMOCRÁTICO BRASILEIRO,29,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,105764.71,DEFERIDO,INDEFERIDO COM RECURSO
30927,2020,PR,VEREADOR,JORDANA CRISTINA SANDRI,APTO,DEFERIDO,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,28,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,DEFERIDO,INDEFERIDO COM RECURSO
30947,2020,RN,VEREADOR,PAULO CESAR SOUZA DE LIMA,APTO,DEFERIDO,MOVIMENTO DEMOCRÁTICO BRASILEIRO,28,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,PARDA,24746.5,DEFERIDO,INDEFERIDO COM RECURSO
30948,2020,SC,VEREADOR,NATANAEL FERREIRA DE LIMA,APTO,INDEFERIDO COM RECURSO,PARTIDO VERDE,28,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,17575.36,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
30963,2020,GO,VEREADOR,DEIVID BATISTA DOS SANTOS,APTO,DEFERIDO,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,29,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,PARDA,69693.06,DEFERIDO,INDEFERIDO COM RECURSO
31197,2020,MG,VEREADOR,FERNANDO JOSE LOPES,APTO,DEFERIDO,PARTIDO DOS TRABALHADORES,28,MASCULINO,SUPERIOR COMPLETO,BRANCA,12307.75,DEFERIDO,INDEFERIDO COM RECURSO
31203,2020,MG,VEREADOR,RAFAEL APARECIDO BORGES,APTO,DEFERIDO,AVANTE,21,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
31204,2020,AL,VICE-PREFEITO,ANNY LAIRA BAHÉ HIGINO LESSA,APTO,DEFERIDO,PROGRESSISTAS,21,FEMININO,SUPERIOR INCOMPLETO,BRANCA,,DEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
31258,2020,AM,VEREADOR,MARCIA INACIO DA SILVA,APTO,INDEFERIDO COM RECURSO,REPUBLICANOS,22,FEMININO,ENSINO MÉDIO COMPLETO,PARDA,20298.53,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
31295,2020,AC,VEREADOR,ELIELSON PEREIRA LIMA,APTO,DEFERIDO,PROGRESSISTAS,25,MASCULINO,SUPERIOR INCOMPLETO,PARDA,12307.75,DEFERIDO,INDEFERIDO COM RECURSO
31355,2020,MA,VEREADOR,CLEITON COSTA,APTO,DEFERIDO,PARTIDO SOCIAL DEMOCRÁTICO,27,MASCULINO,SUPERIOR COMPLETO,PARDA,39786.41,DEFERIDO,INDEFERIDO COM RECURSO
31366,2020,RN,VEREADOR,FRANK LILISLEY OLIVEIRA SOUZA,APTO,INDEFERIDO COM RECURSO,PARTIDO SOCIALISMO E LIBERDADE,27,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,19766.82,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
31672,2020,AL,VEREADOR,ARISTALCO DE SOUZA NETO,APTO,DEFERIDO,PATRIOTA,25,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,38797.78,DEFERIDO,INDEFERIDO COM RECURSO
31673,2020,RJ,VEREADOR,GABRIELA MOURA DE SOUZA,APTO,DEFERIDO,DEMOCRATAS,21,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,104887.86,DEFERIDO,INDEFERIDO COM RECURSO
31713,2020,PR,VEREADOR,LUCAS EMANUEL IURK,APTO,INDEFERIDO COM RECURSO,PATRIOTA,26,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,106531.81,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
31714,2020,PA,VEREADOR,KASSIA REGINA RIBEIRO DE LIMA,APTO,INDEFERIDO COM RECURSO,PARTIDO LIBERAL,29,FEMININO,ENSINO MÉDIO COMPLETO,PARDA,12307.75,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
31736,2020,RN,VEREADOR,LIDIA OLIVEIRA AMORIM,APTO,INDEFERIDO COM RECURSO,PARTIDO SOCIAL CRISTÃO,20,FEMININO,ENSINO MÉDIO COMPLETO,PARDA,37710.69,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
31737,2020,SP,VEREADOR,RAFAEL SILVA DE MORAES,APTO,INDEFERIDO COM RECURSO,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,29,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,91598.62,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
31738,2020,PA,VEREADOR,NELSON MORAES DA CRUZ,APTO,INDEFERIDO COM RECURSO,PARTIDO SOCIAL LIBERAL,26,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,BRANCA,12307.75,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
32129,2020,SP,VEREADOR,RAUL SARAIVA PEREIRA,APTO,DEFERIDO,PARTIDO COMUNISTA DO BRASIL,29,MASCULINO,SUPERIOR COMPLETO,PRETA,69135.94,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
32137,2020,MT,VEREADOR,HOSANA ANASTACIA CUNHA,APTO,DEFERIDO,PATRIOTA,20,FEMININO,ENSINO FUNDAMENTAL COMPLETO,PARDA,12307.75,DEFERIDO,INDEFERIDO COM RECURSO
32228,2020,BA,VEREADOR,JOÃO PEDRO BITTENCOURT LAVIGNE DE LEMOS,APTO,DEFERIDO,PARTIDO DOS TRABALHADORES,24,MASCULINO,SUPERIOR COMPLETO,BRANCA,110073.34,DEFERIDO,INDEFERIDO COM RECURSO
32229,2020,PI,VEREADOR,WILK SÁVIO GUEDES DE BRITO,APTO,DEFERIDO,SOLIDARIEDADE,25,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,DEFERIDO,INDEFERIDO COM RECURSO
32296,2020,RN,VEREADOR,NATANAELY MARTINS DOS SANTOS,APTO,DEFERIDO,PARTIDO REPUBLICANO DA ORDEM SOCIAL,25,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,DEFERIDO,INDEFERIDO COM RECURSO
32323,2020,SP,VEREADOR,PRISCILA DE ALMEIDA GOMES,APTO,INDEFERIDO COM RECURSO,PARTIDO TRABALHISTA CRISTÃO,28,FEMININO,ENSINO FUNDAMENTAL COMPLETO,PRETA,87435.36,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
32332,2020,MG,VEREADOR,ELIANA GOMES SOUZA,APTO,DEFERIDO,PARTIDO DOS TRABALHADORES,29,FEMININO,ENSINO MÉDIO COMPLETO,PRETA,257024.81,DEFERIDO,INDEFERIDO COM RECURSO
32510,2020,PA,VEREADOR,CARLA DANIELA SILVA BRITO LIMA,APTO,DEFERIDO,REPUBLICANOS,29,FEMININO,SUPERIOR COMPLETO,PARDA,55696.8,DEFERIDO,INDEFERIDO COM RECURSO
32610,2020,MS,VICE-PREFEITO,MATEUS FELIPE FROES GIMENEZ,APTO,INDEFERIDO COM RECURSO,PATRIOTA,22,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
33099,2020,MG,VEREADOR,CARLOS ALEXANDRE DA SILVA,APTO,DEFERIDO,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,24,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
33113,2020,AP,VEREADOR,FRANCILENE LIMA MORAIS,APTO,INDEFERIDO COM RECURSO,AVANTE,29,FEMININO,ENSINO MÉDIO INCOMPLETO,PARDA,12307.75,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
33183,2020,GO,VEREADOR,ANA VITORIA ALVES DOS SANTOS,APTO,DEFERIDO,PARTIDO SOCIALISTA BRASILEIRO,21,FEMININO,SUPERIOR INCOMPLETO,PARDA,104136.92,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
33251,2020,RO,VEREADOR,ALINE DOS SANTOS GOMES,APTO,DEFERIDO,PARTIDO TRABALHISTA BRASILEIRO,26,FEMININO,SUPERIOR COMPLETO,PARDA,58439.59,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
33374,2020,RN,VEREADOR,MAX DOUGLAS VARELA DA SILVA,APTO,DEFERIDO,PARTIDO SOCIALISTA BRASILEIRO,21,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,12307.75,DEFERIDO,INDEFERIDO COM RECURSO
33397,2020,AC,VEREADOR,EDUARDO MATEUS PISCO DA SILVA,APTO,DEFERIDO,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,22,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,PARDA,12307.75,DEFERIDO,INDEFERIDO COM RECURSO
33535,2020,PR,VEREADOR,KELLI TAIS MOTTA,APTO,INDEFERIDO COM RECURSO,PARTIDO COMUNISTA DO BRASIL,20,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,33010.98,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
33536,2020,PR,VEREADOR,JHONATHAN DE LARA VIEIRA,APTO,INDEFERIDO COM RECURSO,PARTIDO COMUNISTA DO BRASIL,25,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,33010.98,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
33648,2020,MG,VEREADOR,MAÍRA PABRINE PINHEIRO DA FONSECA,APTO,DEFERIDO,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,27,FEMININO,ENSINO MÉDIO INCOMPLETO,PARDA,21094.14,DEFERIDO,INDEFERIDO COM RECURSO
33649,2020,RJ,VEREADOR,CRISTINA PEREIRA DOS SANTOS,APTO,INDEFERIDO COM RECURSO,PARTIDO COMUNISTA DO BRASIL,29,FEMININO,SUPERIOR COMPLETO,BRANCA,266645.42,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
33821,2020,PR,VEREADOR,GABRIEL ROPELLI TEIXEIRA,APTO,DEFERIDO,PARTIDO DOS TRABALHADORES,20,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,25853.55,DEFERIDO,INDEFERIDO COM RECURSO
33845,2020,PR,PREFEITO,DIEGO RAPHAEL DESPLANCHES,APTO,INDEFERIDO COM RECURSO,CIDADANIA,29,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,PARDA,234928.88,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
34527,2020,BA,VEREADOR,ALEX DOS SANTOS DE OLIVEIRA,APTO,DEFERIDO,PARTIDO SOCIALISMO E LIBERDADE,24,MASCULINO,ENSINO MÉDIO INCOMPLETO,PRETA,12307.75,DEFERIDO,INDEFERIDO COM RECURSO
34574,2020,RJ,VICE-PREFEITO,JOSUÉ MOREIRA MACHADO,APTO,DEFERIDO,SOLIDARIEDADE,26,MASCULINO,ENSINO MÉDIO INCOMPLETO,PARDA,,DEFERIDO,INDEFERIDO COM RECURSO
34601,2020,SP,VEREADOR,JAQUELINE STEFANI MELO DE LIMA,APTO,DEFERIDO,PARTIDO DEMOCRÁTICO TRABALHISTA,27,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,27296.13,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
34697,2020,SP,VEREADOR,TIAGO FERNANDO DA SILVA,APTO,DEFERIDO,REPUBLICANOS,29,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,BRANCA,12307.75,PENDENTE DE JULGAMENTO,INDEFERIDO COM RECURSO
34723,2020,MA,VEREADOR,SABRINA FREITA SANTOS,APTO,DEFERIDO,PARTIDO DEMOCRÁTICO TRABALHISTA,22,FEMININO,SUPERIOR INCOMPLETO,PARDA,12307.75,DEFERIDO,INDEFERIDO COM RECURSO
34728,2020,SC,VEREADOR,MAURICIO SOARES,APTO,DEFERIDO,PROGRESSISTAS,28,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,DEFERIDO,INDEFERIDO COM RECURSO
34801,2020,SP,VEREADOR,IASMIM ENGEL,APTO,DEFERIDO,CIDADANIA,26,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
34808,2020,SP,VEREADOR,DIEGO CANDIDO RIBEIRO,APTO,INDEFERIDO COM RECURSO,PARTIDO SOCIAL DEMOCRÁTICO,29,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
34915,2020,MG,VEREADOR,REGINA CARVALHO BARBOSA,APTO,DEFERIDO,REDE SUSTENTABILIDADE,28,FEMININO,SUPERIOR COMPLETO,BRANCA,12307.75,DEFERIDO,INDEFERIDO COM RECURSO
34960,2020,RS,VEREADOR,GUSTAVO MACHADO GONÇALVES,APTO,INDEFERIDO COM RECURSO,PARTIDO SOCIAL LIBERAL,27,MASCULINO,LÊ E ESCREVE,BRANCA,16384.4,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
35065,2020,AM,VEREADOR,PAULO HENRIQUE DA FONSECA XAVIER,APTO,DEFERIDO,PARTIDO SOCIAL DEMOCRÁTICO,24,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,BRANCA,12307.75,DEFERIDO,INDEFERIDO COM RECURSO
35247,2020,BA,VEREADOR,LEANDRO PEREIRA SANTOS,APTO,DEFERIDO COM RECURSO,PODEMOS,29,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,PARDA,12307.75,DEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
35252,2020,CE,VEREADOR,GABRIEL RODRIGO DE SOUSA,APTO,DEFERIDO,PARTIDO DEMOCRÁTICO TRABALHISTA,22,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,21901.64,DEFERIDO,INDEFERIDO COM RECURSO
35284,2020,MG,VEREADOR,JOSE CARLOS DE SOUZA ALMEIDA,APTO,DEFERIDO,PODEMOS,27,MASCULINO,ENSINO MÉDIO COMPLETO,PRETA,21581.05,DEFERIDO,INDEFERIDO COM RECURSO
36466,2020,SP,VEREADOR,GABRIEL ARAUJO LOPES DE SOUZA,APTO,DEFERIDO,PARTIDO TRABALHISTA CRISTÃO,21,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,59093.31,DEFERIDO,INDEFERIDO COM RECURSO
36713,2020,SP,VEREADOR,ADRIELE REGINA DE OLIVEIRA,APTO,DEFERIDO,PARTIDO REPUBLICANO DA ORDEM SOCIAL,27,FEMININO,ENSINO MÉDIO INCOMPLETO,PARDA,33076.17,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
36765,2020,RJ,VEREADOR,RODRIGO BARROS DA SILVA,APTO,DEFERIDO,PARTIDO SOCIAL DEMOCRÁTICO,27,MASCULINO,ENSINO MÉDIO COMPLETO,PRETA,17226.56,DEFERIDO,INDEFERIDO COM RECURSO
36794,2020,PR,VEREADOR,LAIANE CAROLINA RODRIGUES,APTO,INDEFERIDO COM RECURSO,PARTIDO VERDE,25,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
36813,2020,SE,VEREADOR,HELDON DANIEL DE OLIVEIRA MACIEL,APTO,DEFERIDO,PARTIDO DOS TRABALHADORES,23,MASCULINO,ENSINO MÉDIO INCOMPLETO,PARDA,12307.75,DEFERIDO,INDEFERIDO COM RECURSO
37003,2020,MT,VEREADOR,CINTIA NAYARA RODRIGUES URTADO,APTO,DEFERIDO,DEMOCRACIA CRISTÃ,26,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,37085.3,DEFERIDO,INDEFERIDO COM RECURSO
37036,2020,MG,VEREADOR,RAFAEL BARBOSA DA SILVA,APTO,DEFERIDO,CIDADANIA,28,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,21094.14,DEFERIDO,INDEFERIDO COM RECURSO
37037,2020,CE,VEREADOR,CICERO DE SOUZA BERNARDINO,APTO,DEFERIDO,PARTIDO SOCIALISTA BRASILEIRO,29,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,PARDA,43093.06,DEFERIDO,INDEFERIDO COM RECURSO
37699,2020,ES,VEREADOR,VASCO FERNANDO COURA BOTELHO,APTO,DEFERIDO,PROGRESSISTAS,27,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,102310.15,DEFERIDO,INDEFERIDO COM RECURSO
37713,2020,MG,VEREADOR,RANIELLEY APARECIDA PEREIRA ROCHA,APTO,DEFERIDO,PODEMOS,22,FEMININO,ENSINO MÉDIO COMPLETO,PARDA,21581.05,DEFERIDO,INDEFERIDO COM RECURSO
37716,2020,RS,VEREADOR,KAREN EYMAEL PACHECO,APTO,DEFERIDO,PARTIDO TRABALHISTA BRASILEIRO,29,FEMININO,SUPERIOR COMPLETO,BRANCA,12307.75,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
37721,2020,RN,VEREADOR,CLARA IZABELLA LOURENÇO ANDRADE,APTO,DEFERIDO,PATRIOTA,22,FEMININO,ENSINO MÉDIO INCOMPLETO,BRANCA,61197.17,DEFERIDO,INDEFERIDO COM RECURSO
37810,2020,RJ,VEREADOR,FERNANDO DE JESUS JUNIOR,APTO,DEFERIDO,CIDADANIA,28,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,17226.56,DEFERIDO,INDEFERIDO COM RECURSO
37868,2020,SC,VEREADOR,NERITA MARA DE OLIVEIRA,APTO,INDEFERIDO COM RECURSO,PARTIDO VERDE,27,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,17575.36,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
37869,2020,RJ,VEREADOR,MARIANE HELENA CANDIDO DE ALMEIDA,APTO,INDEFERIDO COM RECURSO,PATRIOTA,28,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,18619.23,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
37954,2020,BA,VEREADOR,FABRICIO RIANN DOS SANTOS DE OLIVEIRA,APTO,INDEFERIDO COM RECURSO,SOLIDARIEDADE,26,MASCULINO,ENSINO MÉDIO INCOMPLETO,PRETA,12307.75,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
38074,2020,PR,VEREADOR,MARIANE RIBEIRO BIANCO,APTO,DEFERIDO,REPUBLICANOS,24,FEMININO,SUPERIOR COMPLETO,BRANCA,12307.75,DEFERIDO,INDEFERIDO COM RECURSO
38109,2020,PA,VEREADOR,WERBET FELIPE RODRIGUES,APTO,DEFERIDO,PARTIDO DEMOCRÁTICO TRABALHISTA,26,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,87466.1,DEFERIDO,INDEFERIDO COM RECURSO
38138,2020,RS,VEREADOR,RAFAEL GODOY PORTO MARTINELLI,APTO,DEFERIDO COM RECURSO,PARTIDO DOS TRABALHADORES,29,MASCULINO,SUPERIOR COMPLETO,BRANCA,66794.29,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
38342,2020,SP,VEREADOR,ANA LAURA EDUARDO GERALDO,APTO,DEFERIDO,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,24,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,INDEFERIDO,INDEFERIDO COM RECURSO
38343,2020,GO,VEREADOR,WAGNER LUIZ DE ALMEIDA JUNIOR,APTO,DEFERIDO,DEMOCRATAS,29,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,333709.86,DEFERIDO,INDEFERIDO COM RECURSO
38449,2020,MA,VEREADOR,MARCOS MACIEL DA CONCEIÇÃO CALDAS,APTO,INDEFERIDO COM RECURSO,MOVIMENTO DEMOCRÁTICO BRASILEIRO,25,MASCULINO,SUPERIOR COMPLETO,PARDA,39786.41,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
38550,2020,AC,VEREADOR,QUELVEXS COSTA NOGUEIRA,APTO,DEFERIDO,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,28,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,12307.75,DEFERIDO,INDEFERIDO COM RECURSO
38605,2020,CE,VEREADOR,ANTONIA TAIS GOMES PAZ,APTO,DEFERIDO,REPUBLICANOS,22,FEMININO,ENSINO FUNDAMENTAL COMPLETO,BRANCA,29921.3,DEFERIDO,INDEFERIDO COM RECURSO
38626,2020,MG,VEREADOR,MARIA GABRIELA SOUZA ARAÚJO,APTO,DEFERIDO,SOLIDARIEDADE,25,FEMININO,ENSINO MÉDIO COMPLETO,PRETA,12307.75,DEFERIDO,INDEFERIDO COM RECURSO
39081,2020,RJ,VEREADOR,VICTOR DE SOUZA ASIAN XAVIER,APTO,DEFERIDO,CIDADANIA,24,MASCULINO,ENSINO MÉDIO COMPLETO,PRETA,60117.48,DEFERIDO,INDEFERIDO COM RECURSO
39889,2020,PA,VEREADOR,MARCIO RODRIGO DOS SANTOS SARAIVA,APTO,DEFERIDO,CIDADANIA,28,MASCULINO,ENSINO MÉDIO INCOMPLETO,PRETA,30015.81,DEFERIDO,INDEFERIDO COM RECURSO
39892,2020,SP,VEREADOR,LUCAS DE PAULA BRANCO,APTO,DEFERIDO,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,20,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
39918,2020,GO,VEREADOR,RANGEL BATISTA DE OLIVEIRA,APTO,DEFERIDO,PARTIDO DEMOCRÁTICO TRABALHISTA,29,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,104136.92,DEFERIDO,INDEFERIDO COM RECURSO
40267,2020,PR,VEREADOR,JESSE DA ROCHA ZOELLNER,APTO,DEFERIDO,PROGRESSISTAS,24,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,12307.75,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
40300,2020,AM,VEREADOR,FRANCISCA SILVA DA ROCHA,APTO,DEFERIDO,PARTIDO SOCIAL DEMOCRÁTICO,25,FEMININO,SUPERIOR COMPLETO,PARDA,22689.98,DEFERIDO,INDEFERIDO COM RECURSO
40345,2020,MA,VEREADOR,PAOLA LUCIA FERREIRA ALEXANDRE,APTO,DEFERIDO,PARTIDO DEMOCRÁTICO TRABALHISTA,19,FEMININO,ENSINO MÉDIO COMPLETO,PARDA,12307.75,DEFERIDO,INDEFERIDO COM RECURSO
40604,2020,PR,VEREADOR,KELLINTON DE SIQUEIRA ALVES,APTO,INDEFERIDO COM RECURSO,PARTIDO COMUNISTA DO BRASIL,29,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,12307.75,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
40824,2020,PR,VEREADOR,MARIA EDUARDA CASSOL VELASCO DA SILVA,APTO,INDEFERIDO COM RECURSO,SOLIDARIEDADE,19,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,31268.48,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
40887,2020,PR,VEREADOR,FRANCIELI FLORES GULARTE,APTO,DEFERIDO,PARTIDO SOCIAL LIBERAL,27,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,100426.4,DEFERIDO,INDEFERIDO COM RECURSO
40893,2020,SP,VEREADOR,ALISSON SILVA DOS SANTOS,APTO,DEFERIDO,PARTIDO SOCIAL DEMOCRÁTICO,22,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,104091.47,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
41086,2020,RJ,VEREADOR,RUAN SANDER DA SILVA,APTO,DEFERIDO,CIDADANIA,29,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,73886.45,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
41087,2020,RJ,VEREADOR,SABRINA CARDOSO SIQUEIRA,APTO,DEFERIDO,AVANTE,22,FEMININO,SUPERIOR INCOMPLETO,BRANCA,60117.48,DEFERIDO,INDEFERIDO COM RECURSO
41841,2020,AM,VEREADOR,BRENNO BRIGLIA PINHEIRO,APTO,INDEFERIDO COM RECURSO,SOLIDARIEDADE,29,MASCULINO,SUPERIOR COMPLETO,BRANCA,84541.32,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
42011,2020,MA,VEREADOR,JHEMILLY THAYNA FIGUEIREDO MENDES COELHO,APTO,INDEFERIDO COM RECURSO,PARTIDO TRABALHISTA BRASILEIRO,25,FEMININO,ENSINO MÉDIO COMPLETO,PARDA,20530.0,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
42195,2020,RS,VEREADOR,AYMAN MOHAMAD ALI YACOUB,APTO,INDEFERIDO COM RECURSO,PARTIDO TRABALHISTA BRASILEIRO,29,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
42565,2020,PB,VEREADOR,ALDA MARIA CORIOLANO DA SILVA,APTO,DEFERIDO,CIDADANIA,22,FEMININO,ENSINO FUNDAMENTAL COMPLETO,BRANCA,12307.75,DEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
42671,2020,BA,VEREADOR,ROBSON FAGUNDES  DA CRUZ,APTO,INDEFERIDO COM RECURSO,PARTIDO SOCIAL LIBERAL,29,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,12307.75,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
42967,2020,CE,VEREADOR,FRANCISCO ITALO MORAIS ARAGÃO,APTO,DEFERIDO,PARTIDO DOS TRABALHADORES,24,MASCULINO,ENSINO MÉDIO COMPLETO,PRETA,524050.7,DEFERIDO,INDEFERIDO COM RECURSO
